Ëã·¨Ãû³Æ,ÏÔÊ¾Ãû³Æ,Â¼ÖÆË÷Òý,»Ø·ÅË÷Òý,Â¼ÖÆ°´¼üID,»Ø·Å°´¼üID,Â¼ÖÆ°´¼üÊ±¼ä(ms),»Ø·Å°´¼üÊ±¼ä(ms),¾ø¶ÔÑÓÊ±(ms),Ëã·¨Æ½¾ùÑÓÊ±(ms),Ïà¶ÔÑÓÊ±(ms)
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,97,97,49,49,11769.7,11802.5,32.8,20.489051094890506,12.310948905109491
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,98,98,53,53,11813.7,11833.4,19.7,20.489051094890506,-0.789051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,99,99,55,55,11814.3,11836.8,22.5,20.489051094890506,2.010948905109494
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,100,100,61,61,11820.1,11840.2,20.1,20.489051094890506,-0.389051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,103,102,47,47,11914.7,11915.9,1.2,20.489051094890506,-19.28905109
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,104,103,45,45,12011.7,12032.2,20.5,20.489051094890506,0.010948905109493978
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,105,104,43,43,12257.7,12272,14.3,20.489051094890506,-6.189051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,106,105,42,42,12457.3,12475.8,18.5,20.489051094890506,-1.989051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,107,106,46,46,12467.5,12489.9,22.4,20.489051094890506,1.9109489051094926
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,108,107,48,48,12478.5,12498.2,19.7,20.489051094890506,-0.789051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,109,108,55,55,12507.3,12523.4,16.1,20.489051094890506,-4.389051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,110,109,40,40,12722.3,12743.3,21,20.489051094890506,0.510948905109494
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,111,110,25,25,12966.7,12978.9,12.2,20.489051094890506,-8.289051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,112,111,18,18,12969.7,12986.3,16.6,20.489051094890506,-3.889051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,113,112,37,37,13199.1,13220.1,21,20.489051094890506,0.510948905109494
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,114,113,30,30,13201.3,13222.7,21.4,20.489051094890506,0.9109489051094926
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,116,115,37,37,13446.1,13462.3,16.2,20.489051094890506,-4.289051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,118,116,42,42,13691.7,13710.4,18.7,20.489051094890506,-1.789051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,119,119,49,49,13927.1,13944.3,17.2,20.489051094890506,-3.289051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,120,120,42,42,13927.1,13947,19.9,20.489051094890506,-0.589051095
